,District Code,Occupation,Total Main Worker (Person)
1124,541,ELEMENTARY OCCUPATIONS,50056
1125,541,Sales and Services Elementary Occupations,13342
1126,541,"Agricultural, Fishery and Related Labourers",152
1127,541,"Labourers in Mining, Construction, Manufacturing and Transport",36562
1128,541,WORKERS NOT CLASSIFIED BY OCCUPATIONS,22176
1129,541,Workers Not Reporting Any Occupations,22176
1130,542,TOTAL,322572
1131,542,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6336
1132,542,Legislators and Senior Officials,2566
1133,542,Corporate Managers,3712
1134,542,General Managers,58
1135,542,PROFESSIONALS,17858
1136,542,"Physical, Mathematical and Engineering Science Professionals",3560
1137,542,Life Science and Health Professionals,1080
1138,542,Teaching Professionals,6126
1139,542,Other Professionals,7092
1140,542,TECHNICIANS AND ASSOCIATE PROFESSIONALS,32678
1141,542,Physical and Engineering Science Associate Professionals,1514
1142,542,Life Science and Health Associate Professionals,6566
1143,542,Teaching Associate Professionals,15418
1144,542,Other Associate Professionals,9180
1145,542,CLERKS,10434
1146,542,Office Clerks,9550
1147,542,Customer Services Clerks,884
1148,542,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,61136
1149,542,Personal and Protective Service Workers,18832
1150,542,"Models, Sales Persons and Demonstrators",42304
1151,542,SKILLED AGRICULTURAL AND FISHERY WORKERS,26504
1152,542,Market Oriented Skilled Agricultural and Fishery Workers,26504
1153,542,CRAFT AND RELATED TRADES WORKERS,56980
1154,542,Extraction and Building Trades Workers,29238
1155,542,"Metal, Machinery and Related Trades Workers",11150
1156,542,"Precision, Handicraft, Printing and Related Trades Workers",3372
1157,542,Other Craft and Related Trades Workers,13220
1158,542,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,24688
1159,542,Stationary Plant and Related Operators,886
1160,542,Machine Operators and Assemblers,8162
1161,542,Drivers and Mobile-Plant Operators,15640
1162,542,ELEMENTARY OCCUPATIONS,57374
1163,542,Sales and Services Elementary Occupations,21968
1164,542,"Agricultural, Fishery and Related Labourers",1384
1165,542,"Labourers in Mining, Construction, Manufacturing and Transport",34022
1166,542,WORKERS NOT CLASSIFIED BY OCCUPATIONS,28584
1167,542,Workers Not Reporting Any Occupations,28584
1168,543,TOTAL,314770
1169,543,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",9118
1170,543,Legislators and Senior Officials,2968
1171,543,Corporate Managers,6100
1172,543,General Managers,50
1173,543,PROFESSIONALS,14770
1174,543,"Physical, Mathematical and Engineering Science Professionals",3578
1175,543,Life Science and Health Professionals,2078
1176,543,Teaching Professionals,4294
1177,543,Other Professionals,4820
1178,543,TECHNICIANS AND ASSOCIATE PROFESSIONALS,32694
1179,543,Physical and Engineering Science Associate Professionals,1906
1180,543,Life Science and Health Associate Professionals,6346
1181,543,Teaching Associate Professionals,14320
1182,543,Other Associate Professionals,10122
1183,543,CLERKS,12564
1184,543,Office Clerks,11692
1185,543,Customer Services Clerks,872
1186,543,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,66254
1187,543,Personal and Protective Service Workers,21494
1188,543,"Models, Sales Persons and Demonstrators",44760
1189,543,SKILLED AGRICULTURAL AND FISHERY WORKERS,15910
1190,543,Market Oriented Skilled Agricultural and Fishery Workers,15902
1191,543,Subsistence Agricultural and Fishery Workers,8
1192,543,CRAFT AND RELATED TRADES WORKERS,60148
1193,543,Extraction and Building Trades Workers,25110
1194,543,"Metal, Machinery and Related Trades Workers",11360
1195,543,"Precision, Handicraft, Printing and Related Trades Workers",3438
1196,543,Other Craft and Related Trades Workers,20240
1197,543,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,23638
1198,543,Stationary Plant and Related Operators,1140
1199,543,Machine Operators and Assemblers,3974
1200,543,Drivers and Mobile-Plant Operators,18524
1201,543,ELEMENTARY OCCUPATIONS,61116
1202,543,Sales and Services Elementary Occupations,25496
1203,543,"Agricultural, Fishery and Related Labourers",120
1204,543,"Labourers in Mining, Construction, Manufacturing and Transport",35500
1205,543,WORKERS NOT CLASSIFIED BY OCCUPATIONS,18558
1206,543,Workers Not Reporting Any Occupations,18558
1207,544,TOTAL,782942
1208,544,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",33829
1209,544,Legislators and Senior Officials,5152
1210,544,Corporate Managers,27864
1211,544,General Managers,813
1212,544,PROFESSIONALS,44222
1213,544,"Physical, Mathematical and Engineering Science Professionals",16508
1214,544,Life Science and Health Professionals,4548
1215,544,Teaching Professionals,9860
1216,544,Other Professionals,13306
1217,544,TECHNICIANS AND ASSOCIATE PROFESSIONALS,69374
1218,544,Physical and Engineering Science Associate Professionals,9671
1219,544,Life Science and Health Associate Professionals,9298
1220,544,Teaching Associate Professionals,22159
1221,544,Other Associate Professionals,28246
1222,544,CLERKS,37391
1223,544,Office Clerks,34218
1224,544,Customer Services Clerks,3173
1225,544,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,128613
1226,544,Personal and Protective Service Workers,43846
1227,544,"Models, Sales Persons and Demonstrators",84767
1228,544,SKILLED AGRICULTURAL AND FISHERY WORKERS,32303
1229,544,Market Oriented Skilled Agricultural and Fishery Workers,32282
1230,544,Subsistence Agricultural and Fishery Workers,21
1231,544,CRAFT AND RELATED TRADES WORKERS,119058
1232,544,Extraction and Building Trades Workers,56050
1233,544,"Metal, Machinery and Related Trades Workers",35149
1234,544,"Precision, Handicraft, Printing and Related Trades Workers",5917
1235,544,Other Craft and Related Trades Workers,21942
1236,544,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,84995
1237,544,Stationary Plant and Related Operators,11920
1238,544,Machine Operators and Assemblers,15635
1239,544,Drivers and Mobile-Plant Operators,57440
1240,544,ELEMENTARY OCCUPATIONS,156284
1241,544,Sales and Services Elementary Occupations,41823
1242,544,"Agricultural, Fishery and Related Labourers",733
1243,544,"Labourers in Mining, Construction, Manufacturing and Transport",113728
1244,544,WORKERS NOT CLASSIFIED BY OCCUPATIONS,76873
1245,544,Workers Not Reporting Any Occupations,76873
1246,545,TOTAL,670923
1247,545,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",20052
1248,545,Legislators and Senior Officials,4805
1249,545,Corporate Managers,15102
1250,545,General Managers,145
1251,545,PROFESSIONALS,41097
1252,545,"Physical, Mathematical and Engineering Science Professionals",9605
1253,545,Life Science and Health Professionals,4361
1254,545,Teaching Professionals,10518
1255,545,Other Professionals,16613
1256,545,TECHNICIANS AND ASSOCIATE PROFESSIONALS,66066
1257,545,Physical and Engineering Science Associate Professionals,5734
1258,545,Life Science and Health Associate Professionals,11955
1259,545,Teaching Associate Professionals,26022
1260,545,Other Associate Professionals,22355
1261,545,CLERKS,36496
1262,545,Office Clerks,33535
1263,545,Customer Services Clerks,2961
1264,545,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,135497
1265,545,Personal and Protective Service Workers,39101
1266,545,"Models, Sales Persons and Demonstrators",96396
1267,545,SKILLED AGRICULTURAL AND FISHERY WORKERS,47389
1268,545,Market Oriented Skilled Agricultural and Fishery Workers,47389
1269,545,CRAFT AND RELATED TRADES WORKERS,127544
1270,545,Extraction and Building Trades Workers,60495
1271,545,"Metal, Machinery and Related Trades Workers",28519
1272,545,"Precision, Handicraft, Printing and Related Trades Workers",7690
1273,545,Other Craft and Related Trades Workers,30840
1274,545,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,57795
1275,545,Stationary Plant and Related Operators,5714
1276,545,Machine Operators and Assemblers,13216
1277,545,Drivers and Mobile-Plant Operators,38865
1278,545,ELEMENTARY OCCUPATIONS,106381
1279,545,Sales and Services Elementary Occupations,42645
1280,545,"Agricultural, Fishery and Related Labourers",2167
1281,545,"Labourers in Mining, Construction, Manufacturing and Transport",61569
1282,545,WORKERS NOT CLASSIFIED BY OCCUPATIONS,32606
1283,545,Workers Not Reporting Any Occupations,32606
1284,546,TOTAL,471292
1285,546,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12945
1286,546,Legislators and Senior Officials,3347
1287,546,Corporate Managers,9511
1288,546,General Managers,87
1289,546,PROFESSIONALS,32000
1290,546,"Physical, Mathematical and Engineering Science Professionals",7116
1291,546,Life Science and Health Professionals,3007
1292,546,Teaching Professionals,9348
1293,546,Other Professionals,12529
1294,546,TECHNICIANS AND ASSOCIATE PROFESSIONALS,49849
1295,546,Physical and Engineering Science Associate Professionals,3822
1296,546,Life Science and Health Associate Professionals,9382
1297,546,Teaching Associate Professionals,20259
1298,546,Other Associate Professionals,16386
1299,546,CLERKS,26489
1300,546,Office Clerks,24811
1301,546,Customer Services Clerks,1678
1302,546,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,101812
1303,546,Personal and Protective Service Workers,28504
1304,546,"Models, Sales Persons and Demonstrators",73308
1305,546,SKILLED AGRICULTURAL AND FISHERY WORKERS,18596
1306,546,Market Oriented Skilled Agricultural and Fishery Workers,18596
1307,546,CRAFT AND RELATED TRADES WORKERS,97977
1308,546,Extraction and Building Trades Workers,42485
1309,546,"Metal, Machinery and Related Trades Workers",21081
1310,546,"Precision, Handicraft, Printing and Related Trades Workers",5405
1311,546,Other Craft and Related Trades Workers,29006
1312,546,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,40298
1313,546,Stationary Plant and Related Operators,2486
1314,546,Machine Operators and Assemblers,9913
1315,546,Drivers and Mobile-Plant Operators,27899
1316,546,ELEMENTARY OCCUPATIONS,72244
1317,546,Sales and Services Elementary Occupations,32661
1318,546,"Agricultural, Fishery and Related Labourers",958
1319,546,"Labourers in Mining, Construction, Manufacturing and Transport",38625
1320,546,WORKERS NOT CLASSIFIED BY OCCUPATIONS,19082
1321,546,Workers Not Reporting Any Occupations,19082
1322,547,TOTAL,752300
1323,547,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",25834
1324,547,Legislators and Senior Officials,4769
1325,547,Corporate Managers,20866
1326,547,General Managers,199
1327,547,PROFESSIONALS,45089
1328,547,"Physical, Mathematical and Engineering Science Professionals",11728
1329,547,Life Science and Health Professionals,4259
1330,547,Teaching Professionals,12801
1331,547,Other Professionals,16301
1332,547,TECHNICIANS AND ASSOCIATE PROFESSIONALS,67179
1333,547,Physical and Engineering Science Associate Professionals,6283
1334,547,Life Science and Health Associate Professionals,11396
1335,547,Teaching Associate Professionals,24923
1336,547,Other Associate Professionals,24577
1337,547,CLERKS,46866
1338,547,Office Clerks,43424
1339,547,Customer Services Clerks,3442
1340,547,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,148306
1341,547,Personal and Protective Service Workers,40096
1342,547,"Models, Sales Persons and Demonstrators",108210
1343,547,SKILLED AGRICULTURAL AND FISHERY WORKERS,26043
1344,547,Market Oriented Skilled Agricultural and Fishery Workers,26040
1345,547,Subsistence Agricultural and Fishery Workers,3
1346,547,CRAFT AND RELATED TRADES WORKERS,141438
1347,547,Extraction and Building Trades Workers,60493
1348,547,"Metal, Machinery and Related Trades Workers",41970
1349,547,"Precision, Handicraft, Printing and Related Trades Workers",10564
1350,547,Other Craft and Related Trades Workers,28411
1351,547,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,75242
1352,547,Stationary Plant and Related Operators,4933
1353,547,Machine Operators and Assemblers,14235
1354,547,Drivers and Mobile-Plant Operators,56074
1355,547,ELEMENTARY OCCUPATIONS,120885
1356,547,Sales and Services Elementary Occupations,40588
1357,547,"Agricultural, Fishery and Related Labourers",207
1358,547,"Labourers in Mining, Construction, Manufacturing and Transport",80090
1359,547,WORKERS NOT CLASSIFIED BY OCCUPATIONS,55418
1360,547,Workers Not Reporting Any Occupations,55418
1361,548,TOTAL,739599
1362,548,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",19682
1363,548,Legislators and Senior Officials,4721
1364,548,Corporate Managers,14847
1365,548,General Managers,114
1366,548,PROFESSIONALS,47152
1367,548,"Physical, Mathematical and Engineering Science Professionals",11836
1368,548,Life Science and Health Professionals,4808
1369,548,Teaching Professionals,14026
1370,548,Other Professionals,16482
1371,548,TECHNICIANS AND ASSOCIATE PROFESSIONALS,71191
1372,548,Physical and Engineering Science Associate Professionals,5690
1373,548,Life Science and Health Associate Professionals,13118
1374,548,Teaching Associate Professionals,28424
1375,548,Other Associate Professionals,23959
1376,548,CLERKS,43647
1377,548,Office Clerks,40704
1378,548,Customer Services Clerks,2943
1379,548,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,153137
1380,548,Personal and Protective Service Workers,40686
1381,548,"Models, Sales Persons and Demonstrators",112451
1382,548,SKILLED AGRICULTURAL AND FISHERY WORKERS,17447
1383,548,Market Oriented Skilled Agricultural and Fishery Workers,17447
1384,548,CRAFT AND RELATED TRADES WORKERS,149062
1385,548,Extraction and Building Trades Workers,68664
1386,548,"Metal, Machinery and Related Trades Workers",32638
1387,548,"Precision, Handicraft, Printing and Related Trades Workers",8082
1388,548,Other Craft and Related Trades Workers,39678
1389,548,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,68168
1390,548,Stationary Plant and Related Operators,5639
1391,548,Machine Operators and Assemblers,16319
1392,548,Drivers and Mobile-Plant Operators,46210
1393,548,ELEMENTARY OCCUPATIONS,123770
1394,548,Sales and Services Elementary Occupations,36144
1395,548,"Agricultural, Fishery and Related Labourers",129
1396,548,"Labourers in Mining, Construction, Manufacturing and Transport",87497
1397,548,WORKERS NOT CLASSIFIED BY OCCUPATIONS,46343
1398,548,Workers Not Reporting Any Occupations,46343
1399,549,TOTAL,440984
1400,549,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",10358
1401,549,Legislators and Senior Officials,3072
1402,549,Corporate Managers,7172
1403,549,General Managers,114
1404,549,PROFESSIONALS,23272
1405,549,"Physical, Mathematical and Engineering Science Professionals",6364
1406,549,Life Science and Health Professionals,2424
1407,549,Teaching Professionals,7468
1408,549,Other Professionals,7016
1409,549,TECHNICIANS AND ASSOCIATE PROFESSIONALS,42962
1410,549,Physical and Engineering Science Associate Professionals,2496
1411,549,Life Science and Health Associate Professionals,8346
1412,549,Teaching Associate Professionals,20124
1413,549,Other Associate Professionals,11996
1414,549,CLERKS,20964
1415,549,Office Clerks,20032
1416,549,Customer Services Clerks,932
1417,549,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,82322
1418,549,Personal and Protective Service Workers,25636
1419,549,"Models, Sales Persons and Demonstrators",56686
1420,549,SKILLED AGRICULTURAL AND FISHERY WORKERS,24190
1421,549,Market Oriented Skilled Agricultural and Fishery Workers,24190
1422,549,CRAFT AND RELATED TRADES WORKERS,100630
1423,549,Extraction and Building Trades Workers,61546
1424,549,"Metal, Machinery and Related Trades Workers",13662
1425,549,"Precision, Handicraft, Printing and Related Trades Workers",3662
1426,549,Other Craft and Related Trades Workers,21760
1427,549,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,33496
1428,549,Stationary Plant and Related Operators,2178
1429,549,Machine Operators and Assemblers,7006
1430,549,Drivers and Mobile-Plant Operators,24312
1431,549,ELEMENTARY OCCUPATIONS,79884
1432,549,Sales and Services Elementary Occupations,18870
1433,549,"Agricultural, Fishery and Related Labourers",144
1434,549,"Labourers in Mining, Construction, Manufacturing and Transport",60870
1435,549,WORKERS NOT CLASSIFIED BY OCCUPATIONS,22906
1436,549,Workers Not Reporting Any Occupations,22906
1437,550,TOTAL,439106
1438,550,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",14722
1439,550,Legislators and Senior Officials,4195
1440,550,Corporate Managers,10435
1441,550,General Managers,92
1442,550,PROFESSIONALS,26775
1443,550,"Physical, Mathematical and Engineering Science Professionals",10171
1444,550,Life Science and Health Professionals,2810
1445,550,Teaching Professionals,6454
1446,550,Other Professionals,7340
1447,550,TECHNICIANS AND ASSOCIATE PROFESSIONALS,43675
1448,550,Physical and Engineering Science Associate Professionals,3706
1449,550,Life Science and Health Associate Professionals,7938
1450,550,Teaching Associate Professionals,17675
1451,550,Other Associate Professionals,14356
1452,550,CLERKS,21886
1453,550,Office Clerks,20234
1454,550,Customer Services Clerks,1652
1455,550,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,81754
1456,550,Personal and Protective Service Workers,25624
1457,550,"Models, Sales Persons and Demonstrators",56130
1458,550,SKILLED AGRICULTURAL AND FISHERY WORKERS,24393
1459,550,Market Oriented Skilled Agricultural and Fishery Workers,24393
1460,550,CRAFT AND RELATED TRADES WORKERS,82262
1461,550,Extraction and Building Trades Workers,37966
1462,550,"Metal, Machinery and Related Trades Workers",15712
1463,550,"Precision, Handicraft, Printing and Related Trades Workers",8237
1464,550,Other Craft and Related Trades Workers,20347
1465,550,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,37300
1466,550,Stationary Plant and Related Operators,2279
1467,550,Machine Operators and Assemblers,4955
1468,550,Drivers and Mobile-Plant Operators,30066
1469,550,ELEMENTARY OCCUPATIONS,84858
1470,550,Sales and Services Elementary Occupations,22668
1471,550,"Agricultural, Fishery and Related Labourers",216
1472,550,"Labourers in Mining, Construction, Manufacturing and Transport",61974
1473,550,WORKERS NOT CLASSIFIED BY OCCUPATIONS,21481
1474,550,Workers Not Reporting Any Occupations,21481
1475,551,TOTAL,419225
1476,551,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11353
1477,551,Legislators and Senior Officials,3602
1478,551,Corporate Managers,7646
1479,551,General Managers,105
1480,551,PROFESSIONALS,21931
1481,551,"Physical, Mathematical and Engineering Science Professionals",7827
1482,551,Life Science and Health Professionals,2377
1483,551,Teaching Professionals,6362
1484,551,Other Professionals,5365
1485,551,TECHNICIANS AND ASSOCIATE PROFESSIONALS,40234
1486,551,Physical and Engineering Science Associate Professionals,2715
1487,551,Life Science and Health Associate Professionals,6954
1488,551,Teaching Associate Professionals,19559
1489,551,Other Associate Professionals,11006
1490,551,CLERKS,21121
1491,551,Office Clerks,20148
1492,551,Customer Services Clerks,973
1493,551,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,77228
1494,551,Personal and Protective Service Workers,22954
1495,551,"Models, Sales Persons and Demonstrators",54274
1496,551,SKILLED AGRICULTURAL AND FISHERY WORKERS,8571
1497,551,Market Oriented Skilled Agricultural and Fishery Workers,8571
1498,551,CRAFT AND RELATED TRADES WORKERS,79971
1499,551,Extraction and Building Trades Workers,34701
1500,551,"Metal, Machinery and Related Trades Workers",16254
1501,551,"Precision, Handicraft, Printing and Related Trades Workers",6022
1502,551,Other Craft and Related Trades Workers,22994
1503,551,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,48512
1504,551,Stationary Plant and Related Operators,4487
1505,551,Machine Operators and Assemblers,5794
1506,551,Drivers and Mobile-Plant Operators,38231
1507,551,ELEMENTARY OCCUPATIONS,78498
1508,551,Sales and Services Elementary Occupations,25013
1509,551,"Agricultural, Fishery and Related Labourers",98
1510,551,"Labourers in Mining, Construction, Manufacturing and Transport",53387
1511,551,WORKERS NOT CLASSIFIED BY OCCUPATIONS,31806
1512,551,Workers Not Reporting Any Occupations,31806
1513,552,TOTAL,545082
1514,552,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13195
1515,552,Legislators and Senior Officials,3664
1516,552,Corporate Managers,9418
1517,552,General Managers,113
1518,552,PROFESSIONALS,26836
1519,552,"Physical, Mathematical and Engineering Science Professionals",7240
1520,552,Life Science and Health Professionals,3654
1521,552,Teaching Professionals,7580
1522,552,Other Professionals,8362
1523,552,TECHNICIANS AND ASSOCIATE PROFESSIONALS,50656
1524,552,Physical and Engineering Science Associate Professionals,3580
1525,552,Life Science and Health Associate Professionals,8840
1526,552,Teaching Associate Professionals,22151
1527,552,Other Associate Professionals,16085
1528,552,CLERKS,23985
1529,552,Office Clerks,22700
1530,552,Customer Services Clerks,1285
1531,552,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,108656
1532,552,Personal and Protective Service Workers,30385
1533,552,"Models, Sales Persons and Demonstrators",78271
1534,552,SKILLED AGRICULTURAL AND FISHERY WORKERS,7661
1535,552,Market Oriented Skilled Agricultural and Fishery Workers,7661
1536,552,CRAFT AND RELATED TRADES WORKERS,102016
1537,552,Extraction and Building Trades Workers,48173
1538,552,"Metal, Machinery and Related Trades Workers",20040
1539,552,"Precision, Handicraft, Printing and Related Trades Workers",4853
1540,552,Other Craft and Related Trades Workers,28950
1541,552,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,50309
1542,552,Stationary Plant and Related Operators,6057
1543,552,Machine Operators and Assemblers,7263
1544,552,Drivers and Mobile-Plant Operators,36989
1545,552,ELEMENTARY OCCUPATIONS,112167
1546,552,Sales and Services Elementary Occupations,28829
1547,552,"Agricultural, Fishery and Related Labourers",87
1548,552,"Labourers in Mining, Construction, Manufacturing and Transport",83251
1549,552,WORKERS NOT CLASSIFIED BY OCCUPATIONS,49601
1550,552,Workers Not Reporting Any Occupations,49601
1551,553,TOTAL,560704
1552,553,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",14137
1553,553,Legislators and Senior Officials,3786
1554,553,Corporate Managers,10296
1555,553,General Managers,55
1556,553,PROFESSIONALS,26290
1557,553,"Physical, Mathematical and Engineering Science Professionals",7637
1558,553,Life Science and Health Professionals,2842
1559,553,Teaching Professionals,8186
1560,553,Other Professionals,7625
1561,553,TECHNICIANS AND ASSOCIATE PROFESSIONALS,50259
1562,553,Physical and Engineering Science Associate Professionals,4281
1563,553,Life Science and Health Associate Professionals,8634
1564,553,Teaching Associate Professionals,22369
1565,553,Other Associate Professionals,14975
1566,553,CLERKS,18306
1567,553,Office Clerks,16880
1568,553,Customer Services Clerks,1426
1569,553,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,121213
1570,553,Personal and Protective Service Workers,34732
1571,553,"Models, Sales Persons and Demonstrators",86481
1572,553,SKILLED AGRICULTURAL AND FISHERY WORKERS,14338
1573,553,Market Oriented Skilled Agricultural and Fishery Workers,14338
1574,553,CRAFT AND RELATED TRADES WORKERS,130270
1575,553,Extraction and Building Trades Workers,44742
1576,553,"Metal, Machinery and Related Trades Workers",22765
1577,553,"Precision, Handicraft, Printing and Related Trades Workers",5681
1578,553,Other Craft and Related Trades Workers,57082
1579,553,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,56982
1580,553,Stationary Plant and Related Operators,5586
1581,553,Machine Operators and Assemblers,8974
1582,553,Drivers and Mobile-Plant Operators,42422
1583,553,ELEMENTARY OCCUPATIONS,88996
1584,553,Sales and Services Elementary Occupations,34668
1585,553,"Agricultural, Fishery and Related Labourers",136
1586,553,"Labourers in Mining, Construction, Manufacturing and Transport",54192
1587,553,WORKERS NOT CLASSIFIED BY OCCUPATIONS,39913
1588,553,Workers Not Reporting Any Occupations,39913
1589,554,TOTAL,614065
1590,554,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",18026
1591,554,Legislators and Senior Officials,4422
1592,554,Corporate Managers,13447
1593,554,General Managers,157
1594,554,PROFESSIONALS,38577
1595,554,"Physical, Mathematical and Engineering Science Professionals",13247
1596,554,Life Science and Health Professionals,3934
1597,554,Teaching Professionals,10382
1598,554,Other Professionals,11014
1599,554,TECHNICIANS AND ASSOCIATE PROFESSIONALS,59716
1600,554,Physical and Engineering Science Associate Professionals,5396
1601,554,Life Science and Health Associate Professionals,10203
1602,554,Teaching Associate Professionals,24979
1603,554,Other Associate Professionals,19138
1604,554,CLERKS,26784
1605,554,Office Clerks,24033
1606,554,Customer Services Clerks,2751
1607,554,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,130560
1608,554,Personal and Protective Service Workers,41683
1609,554,"Models, Sales Persons and Demonstrators",88877
1610,554,SKILLED AGRICULTURAL AND FISHERY WORKERS,16431
1611,554,Market Oriented Skilled Agricultural and Fishery Workers,16425
1612,554,Subsistence Agricultural and Fishery Workers,6
1613,554,CRAFT AND RELATED TRADES WORKERS,119353
1614,554,Extraction and Building Trades Workers,53326
1615,554,"Metal, Machinery and Related Trades Workers",22729
1616,554,"Precision, Handicraft, Printing and Related Trades Workers",6343
1617,554,Other Craft and Related Trades Workers,36955
1618,554,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,62519
1619,554,Stationary Plant and Related Operators,3220
1620,554,Machine Operators and Assemblers,12589
1621,554,Drivers and Mobile-Plant Operators,46710
1622,554,ELEMENTARY OCCUPATIONS,102524
1623,554,Sales and Services Elementary Occupations,26852
1624,554,"Agricultural, Fishery and Related Labourers",845
1625,554,"Labourers in Mining, Construction, Manufacturing and Transport",74827
1626,554,WORKERS NOT CLASSIFIED BY OCCUPATIONS,39575
1627,554,Workers Not Reporting Any Occupations,39575
1628,400,TOTAL,73018
1629,400,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",1732
1630,400,Legislators and Senior Officials,434
1631,400,Corporate Managers,1244
1632,400,General Managers,54
1633,400,PROFESSIONALS,3272
1634,400,"Physical, Mathematical and Engineering Science Professionals",600
1635,400,Life Science and Health Professionals,500
1636,400,Teaching Professionals,976
1637,400,Other Professionals,1196
1638,400,TECHNICIANS AND ASSOCIATE PROFESSIONALS,7072
1639,400,Physical and Engineering Science Associate Professionals,318
1640,400,Life Science and Health Associate Professionals,748
1641,400,Teaching Associate Professionals,4678
1642,400,Other Associate Professionals,1328
1643,400,CLERKS,3040
1644,400,Office Clerks,2934
1645,400,Customer Services Clerks,106
1646,400,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,14356
1647,400,Personal and Protective Service Workers,6520
1648,400,"Models, Sales Persons and Demonstrators",7836
1649,400,SKILLED AGRICULTURAL AND FISHERY WORKERS,1664
1650,400,Market Oriented Skilled Agricultural and Fishery Workers,1664
1651,400,CRAFT AND RELATED TRADES WORKERS,10008
1652,400,Extraction and Building Trades Workers,4302
1653,400,"Metal, Machinery and Related Trades Workers",3578
1654,400,"Precision, Handicraft, Printing and Related Trades Workers",674
1655,400,Other Craft and Related Trades Workers,1454
1656,400,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,7940
1657,400,Stationary Plant and Related Operators,2152
1658,400,Machine Operators and Assemblers,1458
1659,400,Drivers and Mobile-Plant Operators,4330
1660,400,ELEMENTARY OCCUPATIONS,21192
1661,400,Sales and Services Elementary Occupations,3570
1662,400,"Agricultural, Fishery and Related Labourers",266
1663,400,"Labourers in Mining, Construction, Manufacturing and Transport",17356
1664,400,WORKERS NOT CLASSIFIED BY OCCUPATIONS,2742
1665,400,Workers Not Reporting Any Occupations,2742
1666,401,TOTAL,130444
1667,401,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",5409
1668,401,Legislators and Senior Officials,1413
1669,401,Corporate Managers,3965
1670,401,General Managers,31
1671,401,PROFESSIONALS,8746
1672,401,"Physical, Mathematical and Engineering Science Professionals",1233
1673,401,Life Science and Health Professionals,1270
1674,401,Teaching Professionals,2690
1675,401,Other Professionals,3553
1676,401,TECHNICIANS AND ASSOCIATE PROFESSIONALS,22958
1677,401,Physical and Engineering Science Associate Professionals,371
1678,401,Life Science and Health Associate Professionals,1721
1679,401,Teaching Associate Professionals,17550
1680,401,Other Associate Professionals,3316
1681,401,CLERKS,4881
1682,401,Office Clerks,4685
1683,401,Customer Services Clerks,196
1684,401,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,35491
1685,401,Personal and Protective Service Workers,19417
1686,401,"Models, Sales Persons and Demonstrators",16074
1687,401,SKILLED AGRICULTURAL AND FISHERY WORKERS,2983
1688,401,Market Oriented Skilled Agricultural and Fishery Workers,2983
1689,401,CRAFT AND RELATED TRADES WORKERS,17436
1690,401,Extraction and Building Trades Workers,7506
1691,401,"Metal, Machinery and Related Trades Workers",5233
1692,401,"Precision, Handicraft, Printing and Related Trades Workers",1494
1693,401,Other Craft and Related Trades Workers,3203
1694,401,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,8485
